date,open,high,low,close,volume,quote_volume,trades,taker_buy_volume,taker_buy_quote,coin
2025-01-01,93576.0,95151.15,92888.0,94591.79,10373.32613,975444194.1379983,1516556,5347.73648,502914035.6405907,Bitcoin
2025-01-01,3337.78,3374.85,3313.88,3360.38,190238.5861,636613395.6959649,1182219,99518.0217,333085258.287462,Ethereum
2025-01-02,94591.78,97839.5,94392.0,96984.79,21970.48948,2118411852.68128,3569079,10915.96986,1052226710.3336716,Bitcoin
2025-01-02,3360.39,3509.99,3354.5,3455.67,338632.8874,1166286232.162882,2373075,169044.3627,582161055.5219649,Ethereum
2025-01-03,96984.79,98976.91,96100.01,98174.18,15253.82936,1486610768.5907917,2851164,7468.60797,727787246.8965588,Bitcoin
2025-01-03,3455.68,3630.0,3423.44,3609.01,334041.0604,1179953901.101814,2293811,169194.075,597682226.030962,Ethereum
2025-01-04,98174.17,98778.43,97514.79,98220.5,8990.05651,881223751.6353604,1559982,4350.80221,426524714.1305539,Bitcoin
2025-01-04,3609.0,3671.6,3572.42,3656.88,229266.3133,829864804.8598369,1567855,116823.1483,422850861.086886,Ethereum
2025-01-05,98220.51,98836.85,97276.79,98363.61,8095.63723,793931715.9546323,1685799,3877.90985,380355340.4686036,Bitcoin
2025-01-05,3656.88,3675.25,3593.7,3635.99,155444.1741,564147572.800669,1461192,76901.3758,279135355.270006,Ethereum
2025-01-06,98363.61,102480.0,97920.0,102235.6,25263.43375,2540561688.7771435,3853702,12539.59534,1260943259.466256,Bitcoin
2025-01-06,3636.0,3744.83,3610.63,3687.45,329642.3648,1210642823.302069,2753873,166824.6196,612822771.954551,Ethereum
2025-01-07,102235.6,102724.38,96181.81,96954.61,32059.87537,3170421659.717236,4480562,14815.11453,1464336049.7055345,Bitcoin
2025-01-07,3687.44,3700.86,3356.31,3381.31,541543.2874,1899318756.158016,3538701,254553.4502,892893276.0208089,Ethereum
2025-01-08,96954.6,97268.65,92500.9,95060.61,33704.67894,3205849081.112962,5171208,15803.85091,1503791328.6993084,Bitcoin
2025-01-08,3381.31,3415.1,3208.2,3327.29,584749.9627,1944382187.6566591,3766197,275577.2269,916259778.4183792,Ethereum
2025-01-09,95060.61,95382.32,91203.67,92552.49,34544.83685,3217669887.2453976,6027161,15323.62663,1427812152.272761,Bitcoin
2025-01-09,3327.29,3357.27,3158.0,3219.2,501818.4247,1638958679.714368,3685889,237793.7346,777185110.082679,Ethereum
2025-01-10,92552.49,95836.0,92206.02,94726.11,31482.86424,2962085343.283704,5531444,15617.43823,1469711545.6571271,Bitcoin
2025-01-10,3219.2,3322.49,3193.97,3267.04,454142.1333,1482940591.671988,3199118,222519.1849,726413490.6683741,Ethereum
2025-01-11,94726.1,95050.94,93831.73,94599.99,7047.9043,665685994.93301,1496191,3412.37671,322346977.43545526,Bitcoin
2025-01-11,3267.05,3320.18,3217.56,3282.83,151679.7487,494933295.358262,1208777,74202.7876,242350177.143991,Ethereum
2025-01-12,94599.99,95450.1,93711.19,94545.06,8606.86622,813278829.6583949,1658863,4028.33031,380691769.9184427,Bitcoin
2025-01-12,3282.83,3300.0,3224.49,3267.3,164879.9709,538751712.0457871,1151908,78312.5332,255990007.31399,Ethereum
2025-01-13,94545.07,95940.0,89256.69,94536.1,42619.56423,3930666134.3474574,5740963,19473.88042,1797888178.849608,Bitcoin
2025-01-13,3267.3,3339.0,2920.0,3137.51,845907.5669,2614824635.154439,4900248,410956.8014,1271030799.211468,Ethereum
2025-01-14,94536.11,97371.0,94346.22,96560.86,27846.61753,2676048470.3569503,4532923,14248.69616,1369464111.693496,Bitcoin
2025-01-14,3137.51,3256.67,3125.65,3225.63,374308.4517,1197715520.899026,2446285,180843.3605,578754045.677244,Ethereum
2025-01-15,96560.85,100681.94,96500.0,100497.35,30509.99179,3006242382.8867946,3487945,15494.17873,1527728226.3083327,Bitcoin
2025-01-15,3225.63,3473.75,3186.36,3451.52,464188.034,1537407357.366771,2689488,233981.7183,775803015.406068,Ethereum
2025-01-16,100497.35,100866.66,97335.13,99987.3,27832.85317,2765162040.639799,3762755,13513.53707,1342462621.6273284,Bitcoin
2025-01-16,3451.51,3460.79,3265.44,3308.05,471282.6787,1573512574.074851,2667507,227669.8721,760336218.428321,Ethereum
2025-01-17,99987.3,105865.22,99950.77,104077.48,39171.85292,4040993985.475047,3886907,20673.213,2131223293.2048464,Bitcoin
2025-01-17,3308.04,3525.72,3307.5,3473.63,518550.1813,1773013467.309093,3165882,269301.5133,920836504.156446,Ethereum
2025-01-18,104077.47,104988.88,102277.55,104556.23,24307.82998,2521522119.379525,3403162,11607.51274,1204170928.374812,Bitcoin
2025-01-18,3473.64,3494.39,3227.0,3307.71,634197.1281,2100633661.7644196,3931387,309754.3291,1025970289.517671,Ethereum
2025-01-19,104556.23,106422.43,99651.6,101331.57,43397.28298,4513423971.410252,5271920,21079.51082,2193270771.0019445,Bitcoin
2025-01-19,3307.71,3448.99,3130.48,3215.12,1342301.5217,4408659681.01233,7064813,651932.4312,2143657478.900286,Ethereum
2025-01-20,101331.57,109588.0,99550.0,102260.01,89529.231732,9398787064.320717,11597937,44770.529492,4704453254.515383,Bitcoin
2025-01-20,3215.2,3453.69,3142.78,3284.0,1158354.7814,3830020315.131607,7137551,572672.7028,1895320599.961986,Ethereum
2025-01-21,102260.0,107240.81,100119.04,106143.82,45941.02002,4768512258.156501,6842980,23227.02741,2411854258.5127187,Bitcoin
2025-01-21,3283.99,3368.0,3204.6,3327.54,548706.0513,1802317579.6676595,3752957,271093.6278,890755658.885448,Ethereum
2025-01-22,106143.82,106394.46,103339.12,103706.66,22248.69254,2331144640.658579,4364035,10501.59306,1100173331.9876585,Bitcoin
2025-01-22,3327.55,3365.99,3222.85,3242.6,349240.7498,1150648371.196559,2187671,163482.76,538844820.5045631,Ethereum
2025-01-23,103706.66,106850.0,101262.28,103910.34,53953.12031,5610760848.131639,6961383,27045.92646,2813824950.571884,Bitcoin
2025-01-23,3242.61,3347.97,3185.0,3338.21,605592.7225,1965307923.080547,3255920,303294.9418,984590435.717348,Ethereum
2025-01-24,103910.35,107120.0,102750.0,104870.5,23609.24017,2483818574.373748,4798886,11893.4605,1251601023.3484683,Bitcoin
2025-01-24,3338.22,3428.0,3275.9,3310.09,451524.2752,1519379297.690963,2793569,215008.0035,723830815.0465231,Ethereum
2025-01-25,104870.51,105286.52,104106.09,104746.85,9068.32377,949511531.3578016,1770765,4462.60438,467284996.3760967,Bitcoin
2025-01-25,3310.1,3350.68,3268.66,3318.77,208559.0415,690383485.125444,1456638,98129.4498,324799632.127654,Ethereum
2025-01-26,104746.86,105500.0,102520.44,102620.0,9812.51238,1024352365.4715524,1813011,4642.17247,484871090.3361497,Bitcoin
2025-01-26,3318.76,3362.0,3230.0,3232.61,272165.469,899291017.6133741,1416325,116826.2789,386320687.82792896,Ethereum
2025-01-27,102620.01,103260.0,97777.77,102082.83,50758.1341,5092886322.829244,9368910,23529.22433,2361569760.8418937,Bitcoin
2025-01-27,3232.61,3253.91,3020.01,3182.44,753004.7529,2349770569.706611,4888504,345284.5821,1077195796.137122,Ethereum
2025-01-28,102082.83,103800.0,100272.68,101335.52,22022.05765,2253977324.0362086,5428644,10756.64741,1101357650.2919877,Bitcoin
2025-01-28,3182.44,3223.01,3040.03,3077.72,350959.7173,1107001736.175005,2936974,170776.7271,538990208.7234471,Ethereum
2025-01-29,101335.52,104782.68,101328.01,103733.24,23155.35802,2380383694.772136,5189699,11675.17182,1200636637.8143668,Bitcoin
2025-01-29,3077.72,3182.52,3054.06,3113.9,409737.2576,1278256645.74957,3277369,200807.9235,626556500.38162,Ethereum
2025-01-30,103733.25,106457.44,103278.54,104722.94,19374.07472,2038112603.5126407,3990075,10140.92834,1066933244.9920208,Bitcoin
2025-01-30,3113.9,3283.43,3091.06,3247.39,350639.4823,1130886606.539682,2410789,180484.1307,581935263.184576,Ethereum
2025-01-31,104722.94,106012.0,101560.0,102429.56,21983.18193,2282174002.1952176,4331904,10697.39968,1111485874.1292844,Bitcoin
2025-01-31,3247.38,3437.31,3213.8,3300.99,648681.6561,2158479814.3317432,3802893,343645.0199,1144000791.641501,Ethereum
2025-02-01,102429.56,102783.71,100279.51,100635.65,12290.95747,1250354228.2372296,2588786,5625.89331,572540016.1490111,Bitcoin
2025-02-01,3300.99,3331.98,3101.7,3117.54,354065.2525,1142845926.865901,2900696,170674.3585,551595869.3951031,Ethereum
2025-02-02,100635.66,101456.6,96150.0,97700.59,34619.49939,3412084312.583628,7202339,15587.16669,1536076091.303013,Bitcoin
2025-02-02,3117.54,3163.2,2750.71,2869.68,1050805.93,3131430738.391756,5974563,494989.1069,1476742890.842307,Ethereum
2025-02-03,97700.59,102500.01,91231.0,101328.52,75164.7385,7228589180.71162,10625262,36736.56946,3537845694.481265,Bitcoin
2025-02-03,2869.68,2921.0,2125.01,2879.9,2807979.021,7325488963.974643,10550628,1344253.3318,3509887592.196321,Ethereum
2025-02-04,101328.51,101732.31,96150.0,97763.13,40267.98697,3989698644.26493,6618911,19091.58154,1891457194.3598328,Bitcoin
2025-02-04,2879.89,2888.5,2632.6,2731.19,1259594.3919,3477670143.18934,4767588,602952.4706,1664512055.454141,Ethereum
2025-02-05,97763.14,99149.0,96155.0,96612.43,26233.30444,2562342153.829685,4471763,11032.55174,1078316288.1425588,Bitcoin
2025-02-05,2731.19,2826.95,2699.13,2788.25,686593.0429,1897054238.4902232,3498289,327991.4256,906340721.064559,Ethereum
2025-02-06,96612.44,99120.0,95676.64,96554.35,23515.20405,2289071921.21756,4242807,11261.53049,1096611639.3760087,Bitcoin
2025-02-06,2788.25,2857.64,2655.28,2686.64,719459.9571,1981674881.3221192,3805682,325809.3292,897799508.979957,Ethereum
2025-02-07,96554.35,100137.99,95620.34,96506.8,31794.22065,3107592434.6738343,5012456,15249.3537,1491114588.559852,Bitcoin
2025-02-07,2686.63,2797.5,2562.51,2622.1,695467.3612,1875060380.334312,3272698,327218.1388,882532535.7225661,Ethereum
2025-02-08,96506.8,96880.0,95688.0,96444.74,10147.24294,977040267.5158632,1757892,4450.52682,428452764.9047411,Bitcoin
2025-02-08,2622.11,2667.3,2588.8,2632.46,379685.1509,996898803.984915,1865406,182406.1592,478945902.373384,Ethereum
2025-02-09,96444.75,97323.09,94713.0,96462.75,14120.91613,1359495152.3107977,2293192,6663.72875,641795598.1752762,Bitcoin
2025-02-09,2632.46,2698.9,2520.02,2627.18,387166.7911,1016386052.050485,2319910,185314.8373,486833033.68547696,Ethereum
2025-02-10,96462.75,98345.0,95256.0,97430.82,20572.87537,1999112052.6687863,3475919,9607.62329,933665618.5050192,Bitcoin
2025-02-10,2627.18,2693.79,2559.85,2661.19,398173.2716,1051708232.55688,2736600,195023.1915,515093980.36806,Ethereum
2025-02-11,97430.82,98478.42,94876.88,95778.2,18647.76379,1806534846.38632,3716586,8594.50066,832320054.8763715,Bitcoin
2025-02-11,2661.19,2725.04,2558.24,2602.59,484196.1435,1286091770.773805,2776008,226374.751,602010853.065178,Ethereum
2025-02-12,95778.21,98119.99,94088.23,97869.99,29151.16625,2800142168.3943653,4992737,13820.70553,1328044257.0401337,Bitcoin
2025-02-12,2602.59,2795.45,2546.92,2738.27,646295.8959,1705436939.533127,4190060,324858.6193,858009920.218688,Ethereum
2025-02-13,97870.0,98083.91,95217.36,96608.14,19921.77616,1916988246.3921185,3909456,8852.16215,851823567.0939348,Bitcoin
2025-02-13,2738.27,2757.28,2612.76,2675.87,443769.2853,1185301387.824423,3213834,217787.6458,581683038.436098,Ethereum
2025-02-14,96608.13,98826.0,96252.82,97500.48,18173.02646,1768073218.8690157,3499564,9061.31682,881925349.6444213,Bitcoin
2025-02-14,2675.87,2791.78,2664.46,2725.95,419895.7862,1142877818.043903,2645594,222908.7801,606858652.1395049,Ethereum
2025-02-15,97500.47,97972.26,97223.58,97569.66,7349.37683,717245393.778092,1694327,3579.14202,349322778.2339769,Bitcoin
2025-02-15,2725.95,2739.0,2662.28,2693.04,202971.4295,548554180.2223231,1678502,90810.3179,245463912.573468,Ethereum
2025-02-16,97569.67,97704.47,96046.18,96118.12,8191.4249,794694242.2949731,1596701,3719.73063,360842416.66441673,Bitcoin
2025-02-16,2693.04,2727.31,2651.26,2661.41,191231.5314,514482095.174283,1449884,89433.4055,240599550.812392,Ethereum
2025-02-17,96118.12,97046.59,95205.0,95780.0,16492.0451,1584593526.1754675,2831237,8010.41565,769979077.1361973,Bitcoin
2025-02-17,2661.41,2849.7,2637.71,2744.05,639739.8197,1752388687.805609,3881592,329950.3751,904399237.600089,Ethereum
2025-02-18,95780.01,96753.91,93388.09,95671.74,23368.19471,2223994802.892005,4234248,11432.47367,1088319233.5219896,Bitcoin
2025-02-18,2744.05,2756.93,2605.44,2671.99,604863.8737,1616153629.018717,3898156,285508.8694,762964442.3858529,Ethereum
2025-02-19,95671.74,96899.99,95029.99,96644.37,16438.50954,1576817572.1032505,2784225,7173.61807,688586919.9759259,Bitcoin
2025-02-19,2672.0,2736.7,2656.03,2715.5,326154.0202,882047186.131933,2376004,163604.8767,442601160.33245903,Ethereum
2025-02-20,96644.37,98711.36,96415.09,98305.0,17057.39177,1663386824.7315507,2386973,8356.42859,815056614.173827,Bitcoin
2025-02-20,2715.51,2770.59,2707.18,2738.04,336735.2544,921476439.354937,2096063,170515.6667,466756209.201236,Ethereum
2025-02-21,98305.01,99475.0,94871.95,96181.98,32249.2814,3143975917.573464,4528525,15313.58184,1493403646.8483028,Bitcoin
2025-02-21,2738.04,2845.32,2616.72,2663.0,890440.0604,2429306635.177234,3872201,428879.7345,1170981749.414793,Ethereum
2025-02-22,96181.99,96980.0,95770.49,96551.01,11268.17708,1087077133.8226364,1506418,5293.28051,510722895.1675426,Bitcoin
2025-02-22,2663.0,2798.07,2653.33,2763.22,444989.6669,1214059511.899935,2597168,248387.7772,677008292.573996,Ethereum
2025-02-23,96551.01,96650.0,95227.94,96258.0,10884.84913,1044392011.791024,1457368,4619.93267,443381984.4110255,Bitcoin
2025-02-23,2763.23,2857.34,2745.41,2819.69,611002.1222,1711849865.819046,2796506,321625.3377,901407652.084993,Ethereum
2025-02-24,96258.0,96500.0,91349.26,91552.88,31550.10299,2981809595.445377,4972684,14438.63366,1366473567.8747733,Bitcoin
2025-02-24,2819.7,2839.95,2470.33,2513.52,876876.3707,2334572148.661956,4737903,411575.6658,1095102528.763101,Ethereum
2025-02-25,91552.88,92540.69,86050.99,88680.4,78333.11111,6962982500.904473,10289145,35822.15275,3183981371.4750504,Bitcoin
2025-02-25,2513.52,2533.49,2313.49,2495.7,1322016.8718,3207776114.782463,7076645,655424.217,1590563026.371759,Ethereum
2025-02-26,88680.39,89414.15,82256.01,84250.09,56893.54409,4898429925.636476,8490006,28077.1845,2417690848.8189874,Bitcoin
2025-02-26,2495.69,2507.5,2253.77,2336.37,863087.2133,2059160287.050773,5495972,408608.956,975185376.421555,Ethereum
2025-02-27,84250.09,87078.46,82716.49,84708.58,42505.45439,3618738891.222162,6357581,20355.71969,1732725913.2817628,Bitcoin
2025-02-27,2336.38,2381.6,2230.57,2307.72,637583.9106,1480849324.540646,3906903,297736.9154,691230000.438891,Ethereum
2025-02-28,84708.57,85120.0,78258.52,84349.94,83648.03969,6806705236.69068,11344216,40224.85287,3274291175.8104,Bitcoin
2025-02-28,2307.72,2314.18,2076.26,2237.59,1291539.0557,2794546441.726884,5708556,625030.5287,1351940395.764772,Ethereum
2025-03-01,84349.95,86558.0,83824.78,86064.53,25785.05464,2194003507.852643,3700728,11748.10769,1000093822.5383524,Bitcoin
2025-03-01,2237.59,2281.14,2142.73,2217.39,446430.7271,988941461.4303608,2511839,209196.8605,463872993.77574897,Ethereum
2025-03-02,86064.54,95000.0,85050.6,94270.0,54889.09045,4972549515.788669,7403218,29273.81031,2652973441.154539,Bitcoin
2025-03-02,2217.4,2550.58,2172.04,2518.11,1266684.7748,3001215557.603688,4977392,627527.3017,1488652979.402768,Ethereum
2025-03-03,94269.99,94416.46,85117.11,86220.61,59171.10218,5321123743.471923,9797860,27915.4365,2513464571.356911,Bitcoin
2025-03-03,2518.12,2523.56,2097.91,2149.01,1109565.2003,2529346005.909485,4969357,510488.2652,1161760907.053157,Ethereum
2025-03-04,86221.16,88967.52,81500.0,87281.98,55609.10706,4704901219.590436,10326631,27584.7159,2335087296.239287,Bitcoin
2025-03-04,2149.02,2221.88,1993.2,2171.51,1257822.3372,2634485208.259772,5856962,596181.03,1248910466.060303,Ethereum
2025-03-05,87281.98,91000.0,86334.53,90606.01,38264.01163,3400243670.304976,8070266,19230.28436,1709708737.4698937,Bitcoin
2025-03-05,2171.5,2273.51,2155.03,2241.59,687130.7897,1514537132.807393,3480893,326604.0072,720412253.0310271,Ethereum
2025-03-06,90606.0,92810.64,87836.0,89931.89,34342.44902,3105145628.3993998,7643526,17283.99411,1563426526.4289937,Bitcoin
2025-03-06,2241.59,2319.99,2176.9,2202.2,596908.3935,1343407922.359188,3304973,304201.8256,684721457.490546,Ethereum
2025-03-07,89931.88,91283.02,84667.03,86801.75,57980.35713,5097554826.613157,9510442,28394.41537,2497922400.4504447,Bitcoin
2025-03-07,2202.21,2258.47,2101.82,2141.6,782387.2606,1698459492.23933,4452265,384442.6282,834995037.361386,Ethereum
2025-03-08,86801.74,86897.25,85218.47,86222.45,12989.23054,1119358968.6520057,2553974,6491.56581,559581591.3470743,Bitcoin
2025-03-08,2141.6,2234.93,2105.06,2203.58,328793.0979,714743022.410347,2118806,165408.6608,359616114.815223,Ethereum
2025-03-09,86222.46,86500.0,80000.0,80734.37,26115.39345,2173552660.45448,5189138,12093.87232,1006299692.7104127,Bitcoin
2025-03-09,2203.57,2212.0,1989.66,2020.41,601671.5882,1249766628.544949,2791079,283406.499,589074622.734246,Ethereum
2025-03-10,80734.48,84123.46,77459.91,78595.86,47633.38405,3834924947.7581854,8701538,22898.57072,1846606255.3521488,Bitcoin
2025-03-10,2020.43,2152.4,1810.01,1865.1,1248745.3514,2461512870.7707767,5261040,617411.7094,1216440716.446106,Ethereum
2025-03-11,78595.86,83617.4,76606.0,82932.99,48770.06853,3927000827.110792,6983310,24029.1677,1935950413.20182,Bitcoin
2025-03-11,1865.11,1963.2,1754.28,1923.43,1171427.9995,2203451540.611388,4578427,576537.0793,1085290919.303633,Ethereum
2025-03-12,82932.99,84539.85,80607.65,83680.12,31933.986,2638600996.825396,5253577,15749.41702,1301890518.499408,Bitcoin
2025-03-12,1923.42,1960.0,1829.72,1908.2,788739.6763,1494384669.01818,3444921,399364.7041,756917595.001095,Ethereum
2025-03-13,83680.12,84336.33,79939.9,81115.78,27546.27412,2260870111.2393894,4367093,13013.18135,1067945431.1219468,Bitcoin
2025-03-13,1908.2,1923.09,1821.81,1864.59,569537.2622,1069629049.44307,2688683,276728.702,519941674.76874304,Ethereum
2025-03-14,81115.78,85309.71,80818.84,83983.2,26858.52755,2244729595.541172,3290987,14082.88688,1177807467.01818,Bitcoin
2025-03-14,1864.59,1945.64,1861.31,1911.65,375805.7355,718122712.753679,1728618,196808.7418,376032113.70590496,Ethereum
2025-03-15,83983.19,84676.28,83618.0,84338.44,11324.7332,953445671.8337504,1329670,5195.29128,437551330.253166,Bitcoin
2025-03-15,1911.64,1957.19,1903.75,1937.17,209545.8675,404571982.738394,884429,103183.2548,199258936.505655,Ethereum
2025-03-16,84338.44,85117.04,81981.12,82574.53,17596.12531,1468056556.296723,2767947,8505.95317,710037465.075748,Bitcoin
2025-03-16,1937.18,1940.87,1860.38,1887.0,324766.6564,616620264.891675,1466585,147750.6179,280566280.649476,Ethereum
2025-03-17,82574.52,84756.83,82456.0,84010.03,17214.74358,1437716814.046874,3014756,8387.89111,700505421.7877294,Bitcoin
2025-03-17,1887.01,1952.4,1879.98,1926.31,334840.4877,641484974.2783071,1566024,166794.9782,319499477.720785,Ethereum
2025-03-18,84010.02,84021.74,81134.66,82715.03,17610.89883,1450813055.479726,3126371,8047.23418,662808749.3427887,Bitcoin
2025-03-18,1926.3,1936.2,1872.31,1931.54,332896.0155,632109997.551311,1549810,156778.6707,297667875.793969,Ethereum
2025-03-19,82715.03,87000.0,82547.16,86845.94,28151.05374,2375813941.9437623,3774761,13804.24847,1166238970.2811463,Bitcoin
2025-03-19,1931.54,2069.9,1927.58,2056.06,691809.5034,1385193898.481618,2614680,338168.3696,677189954.2620311,Ethereum
2025-03-20,86845.93,87453.67,83655.23,84223.39,22090.30463,1885241921.155652,3252595,10163.59262,867440339.2962606,Bitcoin
2025-03-20,2056.05,2067.9,1952.17,1983.79,401518.9282,800851703.9375689,1885019,185718.3372,370117787.1314191,Ethereum
2025-03-21,84223.38,84850.33,83175.25,84088.79,11956.97443,1005135519.2560016,2360005,5466.41961,459501348.0817583,Bitcoin
2025-03-21,1983.79,1996.73,1937.1,1965.75,262641.659,516587945.858554,1470569,130673.0391,256964902.673041,Ethereum
2025-03-22,84088.79,84539.17,83625.1,83840.59,5420.22114,456235443.8016521,864481,2284.19178,192291026.7874248,Bitcoin
2025-03-22,1965.74,2006.61,1964.34,1980.69,170782.9574,339679365.319319,833146,83417.243,165949750.564435,Ethereum
2025-03-23,83840.59,86129.64,83809.75,86082.5,8461.97813,718692319.1499039,1206533,4424.81013,376007261.5213597,Bitcoin
2025-03-23,1980.68,2020.74,1976.81,2005.99,268707.5233,537810044.752251,973880,141545.4057,283218620.576171,Ethereum
2025-03-24,86082.5,88765.43,85519.09,87498.16,30115.62111,2636765917.951844,2916713,14379.95578,1258638667.112904,Bitcoin
2025-03-24,2005.99,2104.11,1977.67,2081.2,477912.8154,985984215.594533,1804046,241987.6758,499157615.491606,Ethereum
2025-03-25,87498.16,88539.63,86310.0,87392.87,22643.25248,1979571590.8982933,2802815,9440.56294,825308072.6337814,Bitcoin
